CODIGO,DESCRIPCION,F.COMPRA,P.COMPRA,DEPRE.ACU,V.ACTUAL,Meses.Deprec,Deprec.Mensual,CuotaxDeprec
5631,'REG.VOLTAJE OMEGA','10/09/2012','0.00','0.00','0.00',,,
5632,'REG.VOLTAJE OMEGA','10/09/2012','0.00','0.00','0.00',,,
5634,'MOUSE SIRAGON GENE','10/09/2012','0.00','0.00','0.00',,,
5635,'MOUSE SIRAGON GENE','10/09/2012','0.00','0.00','0.00',,,
5636,'MOUSE SIRAGON GENE','10/09/2012','0.00','0.00','0.00',,,
5637,'TECLADO SIRAGON GE','10/09/2012','0.00','0.00','0.00',,,
5638,'TECLADO SIRAGON GE','10/09/2012','0.00','0.00','0.00',,,
5639,'TECLADO SIRAGON GE','10/09/2012','0.00','0.00','0.00',,,
301,'MONITOR SVGA 15" A','20/09/2005','232.17','232.09','0.08',36,'6.45',0
318,'PROTECTOR AIRE ACO','19/05/2003','0.00','0.00','0.00',36,'0.00',''
654,'UPS AVTEK RLS-3000','20/05/2003','0.00','0.00','0.00',36,'0.00',''
1213,'CPU INTEL PENTIUM','22/07/2005','1.041.30','1.041.27','0.03',36,'28.93',0
1443,'SWITCH 24 PUERTOS','14/03/2006','192.98','192.97','0.01',36,'5.36',0
1908,'CPU','30/06/2007','813.00','812.90','0.10',36,'22.58',0
5575,'LAPTO SIRAG.MN-70','02/07/2012','6.250.00','3.472.20','2.777.80',36,'173.61',16
5576,'LAPTO SIRAG.MN-70','02/07/2012','6.250.00','3.472.20','2.777.80',36,'173.61',16
5577,'LAPTO SIRAG.MN-70','02/07/2012','6.250.00','3.472.20','2.777.80',36,'173.61',16
5580,'MONITOR LCD 18.5"','02/07/2012','884.00','491.00','393.00',36,'24.56',16
5581,'MONITOR LCD 18.5"','02/07/2012','884.00','491.00','393.00',36,'24.56',16
5582,'MONITOR LCD 18.5"','02/07/2012','884.00','491.00','393.00',36,'24.56',16
5583,'MONITOR LCD 18.5"','02/07/2012','884.00','491.00','393.00',36,'24.56',16
5584,'MONITOR LCD 18.5"','02/07/2012','884.00','491.00','393.00',36,'24.56',16
5717,'ROUTER 450 WI FI','17/09/2012','875.00','437.40','437.60',36,'24.31',18
5718,'SERVIDOR SIRAGNON','17/09/2012','13.571.00','6.785.46','6.785.54',36,'376.97',18
360,'SWCHIT DATA MEGA','19/05/2003','0.00','0.00','0.00',36,'0.00',''
376,'ROUTER HUGHES','19/05/2003','0.00','0.00','0.00',36,'0.00',''
452,'MOUSE TREKKER','19/05/2003','0.00','0.00','0.00',36,'0.00',''
