CODIGO,CATEGORIA
'005631','ACA'
'005632','ACA'
'005634','ACA'
'005635','ACA'
'005636','ACA'
'005637','ACA'
'005638','ACA'
'005639','ACA'
'000301','EEA'
'000318','EEA'
'000654','EEA'
'001213','EEA'
'001443','EEA'
'001908','EEA'
'005575','EEA'
'005576','EEA'
'005577','EEA'
'005580','EEA'
'005581','EEA'
'005582','EEA'
'005583','EEA'
'005584','EEA'
'005717','EEA'
'005718','EEA'
'000360','EEA'
'000376','EEA'
'000452','EEA'
'000492','EEA'
'000496','EEA'
'000501','EEA'
'000556','EEA'
'000577','EEA'
'000590','EEA'
'000611','EEA'
'000651','EEA'
'000660','EEA'
'000663','EEA'
'000667','EEA'
'000684','EEA'
'000694','EEA'
'000695','EEA'
'000710','EEA'
'000746','EEA'
'000747','EEA'
'000766','EEA'
'000783','EEA'
'000791','EEA'
'000798','EEA'
'000829','EEA'
'000830','EEA'
'000831','EEA'
'000851','EEA'
'000872','EEA'
'000888','EEA'
'000932','EEA'
'000958','EEA'
'000959','EEA'
'000960','EEA'
'000961','EEA'
'000962','EEA'
'000964','EEA'
'000967','EEA'
'000969','EEA'
'000970','EEA'
'000986','EEA'
'001026','EEA'
'001027','EEA'
'001046','EEA'
'001050','EEA'
'001054','EEA'
'001079','EEA'
'001090','EEA'
'001091','EEA'
'001100','EEA'
'001121','EEA'
'001128','EEA'
'001137','EEA'
'001199','EEA'
'001203','EEA'
'001222','EEA'
'001224','EEA'
'001225','EEA'
'001226','EEA'
'001227','EEA'
'001228','EEA'
'001229','EEA'
'001232','EEA'
'001234','EEA'
'001243','EEA'
'001266','EEA'
'001283','EEA'
'001286','EEA'
'001291','EEA'
'001297','EEA'
'001347','EEA'
'001348','EEA'
'001349','EEA'
'001353','EEA'
'001357','EEA'
'001372','EEA'
'001373','EEA'
'001376','EEA'
'001397','EEA'
'001403','EEA'
'001406','EEA'
'001428','EEA'
'001431','EEA'
'001433','EEA'
'001434','EEA'
'001437','EEA'
'001452','EEA'
'001455','EEA'
'001456','EEA'
'001457','EEA'
'001460','EEA'
'001464','EEA'
'001466','EEA'
'001478','EEA'
'001500','EEA'
'001515','EEA'
'001516','EEA'
'001518','EEA'
'001520','EEA'
'001521','EEA'
'001522','EEA'
'001525','EEA'
'001526','EEA'
'001527','EEA'
'001529','EEA'
'001550','EEA'
'001553','EEA'
'001573','EEA'
'001574','EEA'
'001590','EEA'
'001608','EEA'
'001609','EEA'
'001610','EEA'
'001612','EEA'
'001630','EEA'
'001631','EEA'
'001633','EEA'
'001634','EEA'
'001639','EEA'
'001664','EEA'
'001665','EEA'
'001703','EEA'
'001722','EEA'
'001729','EEA'
'001733','EEA'
'001735','EEA'
'001736','EEA'
'001740','EEA'
'001758','EEA'
'001759','EEA'
'001764','EEA'
'001780','EEA'
'001788','EEA'
'001792','EEA'
'001802','EEA'
'001816','EEA'
'001820','EEA'
'001823','EEA'
'001828','EEA'
'001836','EEA'
'001838','EEA'
'001841','EEA'
'001843','EEA'
'001845','EEA'
'001866','EEA'
'001869','EEA'
'001870','EEA'
'001904','EEA'
'001910','EEA'
'001911','EEA'
'001913','EEA'
'001914','EEA'
'001959','EEA'
'001962','EEA'
'001965','EEA'
'001967','EEA'
'001968','EEA'
'001973','EEA'
'001985','EEA'
'002014','EEA'
'002044','EEA'
'002045','EEA'
'002046','EEA'
'002087','EEA'
'002088','EEA'
'002089','EEA'
'002090','EEA'
'002135','EEA'
'002136','EEA'
'002140','EEA'
'002144','EEA'
'002145','EEA'
'002167','EEA'
'002179','EEA'
'002180','EEA'
'002226','EEA'
'002289','EEA'
'002338','EEA'
'002341','EEA'
'002342','EEA'
'002343','EEA'
'002344','EEA'
'002352','EEA'
'002364','EEA'
'002367','EEA'
'002368','EEA'
'002380','EEA'
'002381','EEA'
'002384','EEA'
'002385','EEA'
'002389','EEA'
'002406','EEA'
'002409','EEA'
'002411','EEA'
'002432','EEA'
'002433','EEA'
'002438','EEA'
'002460','EEA'
'002464','EEA'
'002466','EEA'
'002489','EEA'
'002490','EEA'
'002491','EEA'
'002492','EEA'
'002493','EEA'
'002495','EEA'
'002496','EEA'
'002497','EEA'
'002498','EEA'
'002499','EEA'
'002500','EEA'
'002501','EEA'
'002502','EEA'
'002503','EEA'
'002509','EEA'
'002513','EEA'
'002516','EEA'
'002521','EEA'
'002522','EEA'
'002524','EEA'
'002525','EEA'
'002528','EEA'
'002529','EEA'
'002559','EEA'
'002562','EEA'
'002567','EEA'
'002568','EEA'
'002570','EEA'
'002582','EEA'
'002585','EEA'
'002586','EEA'
'002587','EEA'
'002588','EEA'
'002589','EEA'
'002590','EEA'
'002644','EEA'
'002645','EEA'
'002651','EEA'
'002652','EEA'
'002653','EEA'
'002687','EEA'
'002700','EEA'
'002701','EEA'
'002702','EEA'
'002709','EEA'
'002714','EEA'
'002715','EEA'
'002717','EEA'
'002775','EEA'
'002777','EEA'
'002778','EEA'
'002779','EEA'
'002781','EEA'
'002782','EEA'
'002786','EEA'
'002787','EEA'
'002788','EEA'
'002789','EEA'
'002791','EEA'
'002792','EEA'
'002793','EEA'
'002794','EEA'
'002795','EEA'
'002796','EEA'
'002797','EEA'
'002807','EEA'
'002809','EEA'
'002810','EEA'
'002811','EEA'
'002817','EEA'
'002818','EEA'
'002825','EEA'
'002832','EEA'
'002833','EEA'
'002839','EEA'
'002840','EEA'
'002878','EEA'
'002879','EEA'
'002880','EEA'
'002887','EEA'
'002888','EEA'
'002934','EEA'
'002937','EEA'
'002945','EEA'
'002946','EEA'
'002947','EEA'
'002948','EEA'
'002950','EEA'
