EM0,PV0,PV1,PV2,PV3,PV4,PV5
'A','0       ','0                             ','0                             ','0                             ','0                             ','0.0            '
'A','003     ','ALIMENTOS NATROPIC S.A.       ','URBANIZACION INDUSTRIAL LA    ','QUIZANDA AVE.CIRCUNVALACION   ','GALPON N*107 VALENCIA         ','J-31217399-8   '
'A','004     ','CORPORACION DE ABASTECIMIENTO ','Y SERVICIOS AGRICOLAS  S.A.   ','                              ','                              ','J306011382     '
'A','007     ','COMERC.DE ALIMENTOS VALFA C.A.','CALLE NEGRO PRIMERO C/AV.SUCRE','CASA N*4-4 SECTOR SAN JOAQUIN ','SAN JOAQUIN EDO CARABOBO      ','J-301936167    '
'A','008     ','CORPORACION MM&SI2008 C.A.    ','AV LARA C/C CARABOBO Y SOUBLET','C.C.GRAN BAZAR NIVEL PB.SECTOR','LA CANDELARIA VALENCIA        ','J-29776044-0   '
'A','010     ','CA.SUCESORA DE JOSE PUIG&CIA  ','FINAL 2DA TRANVERSAL EDIF.PUIG','LOS CORTIJOS DE LOURDES       ','MIRANDA  CARACAS              ','J-00030361-4   '
'A','011     ','CONVELAC C.A.                 ','ZONA INDUSTRIAL III CALLE 3   ','ENTRE CARRERA 2 Y 3 PARCELA   ','N* 152 BARQUISIMETO           ','J304911696     '
'A','015     ','DIST.DE ALIMENTOS LAS NUBES   ','CALLE SUCRE ENTRE DIAZ MORENO ','Y MONTES DE OCA LA CANDELARIA ','C/C DON EDUARDO L/1-2 VALENCIA','J-30635251-1   '
'A','022     ','PROCESADORA ECOGRASAS  C.A.   ','CELLE 4 PARCELA N*C ZONA PARQU','E INDUSTRIAL MUNICIPAL 1ETAPA ','TINAQUILLO EDO COJEDES        ','J-29801313-3   '
'A','026     ','DEL MONTE ANDINA  C.A.        ','AVENIDA BERMUDEZ              ','PLANTA INDUSTRIAL ARAGUA      ','TURMERO ESTADO ARAGUA         ','J-30546458-8   '
'A','032     ','%% DEMASECA %%                ','AV. LARA CENTRO FINANCIERO    ','LAS VEGAS 4o. Piso Oficina 4-2','BARQUISIMETO - EDO. LARA      ','J-30119521-3   '
'A','080     ','LACTEOS HNOS CAMACHO C.A.     ','1ra CALLE URB.LOS MOLINOS EDIF','SEDE HNOS CAMACHO SAN MARTIN  ','CARACAS                       ','J-00028777-5   '
'A','083     ','INDUS.PROC.CEREALES INPROCECA ','CARRETERA NACIONAL GUARENAS GU','ATIRE PARCELA 11 Y 12.        ','                              ','J298866713     '
'A','180     ','INDUGRAM C.A.                 ','ZONA INDUSTRIAL CORPOINDUSTRIA','GALPON E-3 TINAQUILLO-COJEDES ','                              ','J-30612222-2   '
'A','190     ','ALMACENADORA ASOPORTUGUESAC.A ','AV. LOS AGRICULTORES FRENTE AL','COMADO DE LA GUARDIA NACIONAL ','ARAURE EDO. PORTUGUESA        ','J-08506919-4   '
'A','200     ','GRANOS EL MATRACAZO           ','CALLE VENEZUELA #75  FRENTE AL','MERCADO DE PTO. LA CRUZ  EDO. ','ANZOATEGUI                    ','J-30608033-3   '
'A','202     ','%% LA LUCHA  C.A. %%          ','AV. PEDRO RUSSO FERRER  EDIF. ','AGROMIL 1  URBANIZ. EL TAMBOR ','PLANTA GUACARA - EDO. CARABOBO','J000213194     '
'A','203     ','%% LA LUCHA  C.A. %%          ','AV. PEDRO RUSSO FERRER  EDIF. ','AGROMIL 1  URBANIZ. EL TAMBOR ','LOS TEQUES - ESTADO MIRANDA   ','J000213194     '
'A','228     ','%% INDAECA %%                 ','ZONA INDUSTRIAL SAN VICENTE II','CALLE A PARCELA 6 Y 7 MARACAY ','EDO ARAGUA                    ','J075032080     '
'A','230     ','ITALTORREFACCION C.A.         ','CALLE N*1 CONJUNTO INDUSTRIAL ','BERNARDINO MOSQUERA LOCAL 4   ','LA YAGUARA CARACAS            ','J001526234     '
'A','233     ','MEAD JOHNSON NUTRITION VENEZUE','ELA  S.C.A                    ','MYERS DE VZLA PB.URB.LOS CORTI','JOS DE LOURDES CARACAS        ','J296961360     '
'A','306     ','PLUMROSE LATINOAMERICANA C.A. ','Av.Trieste con calle Miranda  ','Urb.los Ruices Sur Edif PLUMRO','Caracas-Zona Posta 1071       ','J-000193614    '
'A','380     ','PROAGRO C.A.                  ','AV.EUGENIO MENDOZA EDIF.PROTIN','AL FTE STADIUM JOSE BERNARDO  ','PEREZ VALENCIA EDO CARABOBO   ','J001036865     '
'A','385     ','%% PASTAS SINDONI C.A.%%      ','ZONA INDUSTRIAL EL PINONAL VIA','BARRIO SAN CARLOS MARACAY     ','EDO ARAGUA                    ','J-07505231-5   '
'A','390     ','PROCTER & GAMBLE DE VENEZUELA ','  SCA                         ','                              ','                              ','J308109860     '
'A','396     ','PAPELES VENEZOLANOS C.A.      ','CALLE LAS MERCEDES ENTRE CALLE','GUAICAIPURO Y CARABOBO EDIF   ','SORUM PISO 8 EL ROSAL. CARACAS','J000281157     '
'A','400     ','%% SALES INDUSTRIALES S.A.    ','AUTOPISTA DE ORIENTE ROMULO   ','BETANCOURT ZONA IND.BARBACOAS ','BARCELONA                     ','J-30085064-1   '
'C','C002    ','GRASACA GRASAS SAN CARLOS     ','AV.LA SALLE TORRE PHELPS PISO ','14 OFICINA A Y C              ','CARACAS                       ','J-31104331-4   '
'C','C005    ','AVECAISA                      ','Av. LIBERTADOR  MULTICENTRO   ','EMPRESARIAL DEL ESTE EDIF MIR.','PISO 9 OFIC 93 CHACAO-CARACAS ','J-08521486-0   '
