sucursal,codigo,p1,p2,p3,cp,uc,m1,m2,m3
C,20505,260,260,260,116,116,124.14,124.14,124.14
C,20510,313.2,313.2,313.2,189,189,65.71,65.71,65.71
C,50515,753,753,753,639.84,639.84,17.69,17.69,17.69
C,50520,942,942,942,799.92,799.92,17.76,17.76,17.76
C,50525,933,933,933,792.48,792.48,17.73,17.73,17.73
C,51005,721,721,721,209.28,209.28,244.51,244.51,244.51
C,51010,843,843,843,310.56,310.56,171.45,171.45,171.45
C,51030,1161,1161,1161,162.24,162.24,615.61,615.61,615.61
C,51035,877,877,877,221.04,221.04,296.76,296.76,296.76
C,51040,353,353,353,60.48,60.48,483.66,483.66,483.66
C,51042,353,353,353,124.8,124.8,182.85,182.85,182.85
C,51045,181.44,181.44,181.44,146.88,146.88,23.53,23.53,23.53
C,51047,154,154,154,84,84,83.33,83.33,83.33
C,51050,179.14,179.14,179.14,85.63,85.63,109.2,109.2,109.2
C,51055,369,369,369,153.6,153.6,140.23,140.23,140.23
C,51060,1735,1735,1735,462.96,462.96,274.76,274.76,274.76
C,51065,1615,1615,1615,574.4,574.4,181.16,181.16,181.16
C,51070,1615,1615,1615,638.22,638.22,153.05,153.05,153.05
C,51072,1615,1615,1615,574.4,574.4,181.16,181.16,181.16
C,51075,1348,1348,1348,700.8,700.8,92.35,92.35,92.35
C,51080,1205,1205,1205,287.76,287.76,318.75,318.75,318.75
C,52025,691.5,691.5,691.5,359.47,359.47,92.37,92.37,92.37
C,52030,760,760,760,395.02,395.02,92.4,92.4,92.4
C,52505,691.5,691.5,691.5,218.4,552.96,25.05,25.05,25.05
C,52510,760,760,760,240,607.68,25.07,25.07,25.07
C,53005,234,234,234,164.16,164.16,42.54,42.54,42.54
C,53010,243,243,243,170.64,170.64,42.41,42.41,42.41
C,55005,753,753,753,639.84,639.84,17.69,17.69,17.69
C,55010,942,942,942,313.68,313.68,200.31,200.31,200.31
C,55015,933,933,933,792.48,792.48,17.73,17.73,17.73
C,55505,721,721,721,70.08,70.08,928.82,928.82,928.82
C,55510,843,843,843,99.36,99.36,748.43,748.43,748.43
C,56005,1161,1161,1161,54.61,54.61,2025.98,2025.98,2025.98
C,56010,877,877,877,102.72,102.72,753.78,753.78,753.78
C,56015,369,369,369,90,90,310,310,310
C,56020,353,353,353,28.14,28.14,1154.44,1154.44,1154.44
C,56022,353,353,353,28.14,28.14,1154.44,1154.44,1154.44
C,56025,179.14,179.14,179.14,85.63,85.63,109.2,109.2,109.2
C,56030,760,760,760,240,240,216.67,216.67,216.67
C,56035,691.5,691.5,691.5,218.4,218.4,216.62,216.62,216.62
