sucursal,codigo,uc,p1,p2,p3,m1,m2,m3
C,0020505,116.00,260.00,260.00,260.00,55.38,55.38,55.38
C,0020510,189.00,313.20,313.20,313.20,39.66,39.66,39.66
C,0045005,71.17,71.17,71.17,71.17,0.00,0.00,0.00
C,0045010,8.25,8.25,8.25,8.25,0.00,0.00,0.00
C,0050515,639.84,753.00,753.00,753.00,15.03,15.03,15.03
C,0050520,799.92,942.00,942.00,942.00,15.08,15.08,15.08
C,0050525,792.48,933.00,933.00,933.00,15.06,15.06,15.06
C,0051005,209.28,721.00,721.00,721.00,70.97,70.97,70.97
C,0051010,310.56,843.00,843.00,843.00,63.16,63.16,63.16
C,0051030,162.24,1161.00,1161.00,1161.00,86.03,86.03,86.03
C,0051035,221.04,877.00,877.00,877.00,74.80,74.80,74.80
C,0051040,60.48,353.00,353.00,353.00,82.87,82.87,82.87
C,0051042,124.80,353.00,353.00,353.00,64.65,64.65,64.65
C,0051045,146.88,181.44,181.44,181.44,19.05,19.05,19.05
C,0051047,84.00,154.00,154.00,154.00,45.45,45.45,45.45
C,0051050,85.63,179.14,179.14,179.14,52.20,52.20,52.20
C,0051055,153.60,369.00,369.00,369.00,58.37,58.37,58.37
C,0051060,462.96,1735.00,1735.00,1735.00,73.32,73.32,73.32
C,0051065,574.40,1615.00,1615.00,1615.00,64.43,64.43,64.43
C,0051070,638.22,1615.00,1615.00,1615.00,60.48,60.48,60.48
C,0051072,574.40,1615.00,1615.00,1615.00,64.43,64.43,64.43
C,0051075,700.80,1348.00,1348.00,1348.00,48.01,48.01,48.01
C,0051080,287.76,1205.00,1205.00,1205.00,76.12,76.12,76.12
C,0052025,359.47,1382.00,1382.00,1382.00,73.99,73.99,73.99
C,0052030,395.02,760.00,760.00,760.00,48.02,48.02,48.02
C,0052505,552.96,1382.50,1382.50,1382.50,60.00,60.00,60.00
C,0052510,607.68,1519.50,1519.50,1519.50,60.01,60.01,60.01
C,0053005,164.16,304.18,304.18,304.18,46.03,46.03,46.03
C,0053010,170.64,315.94,315.94,315.94,45.99,45.99,45.99
C,0055005,639.84,753.00,753.00,753.00,15.03,15.03,15.03
C,0055010,313.68,942.00,942.00,942.00,66.70,66.70,66.70
C,0055015,792.48,933.00,933.00,933.00,15.06,15.06,15.06
C,0055505,70.08,721.00,721.00,721.00,90.28,90.28,90.28
C,0055510,99.36,843.00,843.00,843.00,88.21,88.21,88.21
C,0056005,54.61,1161.00,1161.00,1161.00,95.30,95.30,95.30
C,0056010,102.72,877.00,877.00,877.00,88.29,88.29,88.29
C,0056015,90.00,369.00,369.00,369.00,75.61,75.61,75.61
C,0056020,28.14,353.00,353.00,353.00,92.03,92.03,92.03
C,0056022,28.14,353.00,353.00,353.00,92.03,92.03,92.03
C,0056023,0.00,181.44,181.44,181.44,100.00,100.00,100.00
C,0056025,85.63,179.14,179.14,179.14,52.20,52.20,52.20
C,0056030,240.00,1519.50,1519.50,1519.50,84.21,84.21,84.21
C,0056035,218.40,1382.50,1382.50,1382.50,84.20,84.20,84.20
C,0056040,47.88,55.27,55.27,55.27,13.37,13.37,13.37
C,0056050,72.57,1348.00,1348.00,1348.00,94.62,94.62,94.62
C,0056060,80.91,1735.00,1735.00,1735.00,95.34,95.34,95.34
C,0056065,158.64,1615.00,1615.00,1615.00,90.18,90.18,90.18
C,0056070,86.60,1615.00,1615.00,1615.00,94.64,94.64,94.64
C,0056072,0.00,1615.00,1615.00,1615.00,100.00,100.00,100.00
C,0056080,120.72,1205.00,1205.00,1205.00,89.98,89.98,89.98
C,0060500,110.21,235.85,235.85,235.85,53.27,53.27,53.27
C,0060502,389.12,771.70,771.70,771.70,49.58,49.58,49.58
C,0060505,178.98,385.85,385.85,385.85,53.61,53.61,53.61
C,0060511,317.76,664.52,664.52,664.52,52.18,52.18,52.18
C,0060512,964.93,1139.20,1139.20,1139.20,15.30,15.30,15.30
C,0060516,645.86,762.52,0.00,762.52,15.30,0.00,15.30
C,0061000,272.36,468.52,468.52,468.52,41.87,41.87,41.87
C,0061001,653.65,937.06,937.06,937.06,30.24,30.24,30.24
C,0061005,112.86,199.82,199.82,199.82,43.52,43.52,43.52
C,0061020,75.82,105.72,105.72,105.72,28.28,28.28,28.28
C,0061500,220.43,260.25,260.25,260.25,15.30,15.30,15.30
C,0061502,824.84,973.82,973.82,973.82,15.30,15.30,15.30
C,0061505,225.68,486.90,486.90,486.90,53.65,53.65,53.65
C,0061510,427.99,569.58,569.58,569.58,24.86,24.86,24.86
C,0061515,89.55,105.72,105.72,105.72,15.30,15.30,15.30
C,0061522,180.94,213.58,213.58,213.58,15.28,15.28,15.28
C,0061540,22.38,40.57,40.57,40.57,44.84,44.84,44.84
C,0062000,249.04,477.70,477.70,477.70,47.87,47.87,47.87
C,0062001,809.28,955.45,955.45,955.45,15.30,15.30,15.30
C,0062005,220.44,260.25,260.25,260.25,15.30,15.30,15.30
C,0062012,0.00,92.68,92.68,92.68,100.00,100.00,100.00
C,0062015,186.76,220.48,220.48,220.48,15.29,15.29,15.29
C,0062020,75.81,105.72,105.72,105.72,28.29,28.29,28.29
C,0062040,20.94,40.57,40.57,40.57,48.39,48.39,48.39
C,0063015,136.19,222.78,222.78,222.78,38.87,38.87,38.87
C,0063028,171.21,222.78,222.78,222.78,23.15,23.15,23.15
C,0063030,188.70,222.78,222.78,222.78,15.30,15.30,15.30
C,0063038,149.82,236.55,236.55,236.55,36.66,36.66,36.66
C,0063039,319.12,606.32,606.32,606.32,47.37,47.37,47.37
C,0063040,778.24,1212.70,1212.70,1212.70,35.83,35.83,35.83
C,0063042,165.36,215.88,215.88,215.88,23.40,23.40,23.40
C,0063048,182.88,215.88,215.88,215.88,15.29,15.29,15.29
C,0063050,165.36,215.88,215.88,215.88,23.40,23.40,23.40
C,0063051,1182.79,1396.42,1396.42,1396.42,15.30,15.30,15.30
C,0063052,223.75,264.12,264.12,264.12,15.28,15.28,15.28
C,0063054,114.17,195.98,195.98,195.98,41.74,41.74,41.74
C,0063056,25.85,40.57,40.57,40.57,36.28,36.28,36.28
C,0063058,20.70,40.57,40.57,40.57,48.98,48.98,48.98
C,0063076,95.33,144.68,144.68,144.68,34.11,34.11,34.11
C,0063078,171.21,222.78,222.78,222.78,23.15,23.15,23.15
C,0063080,188.72,222.78,222.78,222.78,15.29,15.29,15.29
C,0063082,87.55,144.68,144.68,144.68,39.49,39.49,39.49
C,0063090,30.99,40.57,40.57,40.57,23.61,23.61,23.61
C,0063095,34.45,40.57,40.57,40.57,15.09,15.09,15.09
C,0064000,30.99,40.57,40.57,40.57,23.61,23.61,23.61
C,0064005,34.45,40.57,40.57,40.57,15.09,15.09,15.09
C,0064010,31.03,40.57,40.57,40.57,23.51,23.51,23.51
C,0064015,31.01,40.57,40.57,40.57,23.56,23.56,23.56
C,0079050,110.09,110.09,110.09,110.09,0.00,0.00,0.00
C,0080505,225.00,260.00,260.00,260.00,13.46,13.46,13.46
C,0080510,367.50,435.00,435.00,435.00,15.52,15.52,15.52
C,0080515,180.00,222.60,222.60,222.60,19.14,19.14,19.14
C,0080520,310.52,369.60,369.60,369.60,15.98,15.98,15.98
C,0100505,91.88,128.25,128.25,128.25,28.36,28.36,28.36
C,0100510,81.40,128.25,128.25,128.25,36.53,36.53,36.53
C,0110500,423.36,473.76,473.76,473.76,10.64,10.64,10.64
C,0110510,241.92,496.32,496.32,496.32,51.26,51.26,51.26
C,0110515,423.36,473.76,473.76,473.76,10.64,10.64,10.64
C,0113005,77.99,205.13,205.13,205.13,61.98,61.98,61.98
C,0113010,78.04,205.13,205.13,205.13,61.96,61.96,61.96
C,0113015,82.08,205.13,205.13,205.13,59.99,59.99,59.99
C,0113020,78.00,205.13,205.13,205.13,61.98,61.98,61.98
C,0113030,0.00,273.00,273.00,273.00,100.00,100.00,100.00
