VENDEDOR_RUTA,DIA,CLIENTE,PRECIO,APLICA_BOLET
1,JU,21667,2,S
1,JU,10646,2,S
1,JU,20558,2,S
1,JU,20331,2,S
1,JU,20003,2,S
1,JU,20554,2,S
1,JU,24402,2,S
1,JU,20415,2,S
1,JU,20555,2,S
1,LU,14401,2,S
1,LU,11200,2,S
1,LU,10019,2,S
1,LU,10410,2,S
1,LU,16015,2,S
1,LU,10001,2,S
1,LU,10514,2,S
1,MA,36027,2,S
1,MA,36008,2,S
1,MA,36141,2,S
1,MA,36024,2,S
1,MA,36151,2,S
1,MA,30003,2,S
1,MA,30578,2,S
1,MA,36026,2,S
1,MA,36048,2,S
1,MA,31647,2,S
1,MA,30576,2,S
1,MA,36005,2,S
1,MA,30037,2,S
1,MI,30053,2,S
1,MI,30035,2,S
1,MI,30050,2,S
1,MI,30034,2,S
1,MI,30033,2,S
1,MI,30041,2,S
1,MI,36012,2,S
1,MI,36032,2,S
1,MI,31608,2,S
1,MI,36029,2,S
1,MI,31508,2,S
1,MI,30031,2,S
1,MI,31509,2,S
1,MI,30546,2,S
1,MI,31617,2,S
1,MI,30536,2,S
1,MI,36013,2,S
1,VI,11697,2,S
1,VI,11681,2,S
1,VI,16295,2,S
1,VI,10893,2,S
1,VI,11624,2,S
1,VI,16010,2,S
1,VI,11657,2,S
1,VI,16009,2,S
1,VI,10645,2,S
1,VI,11788,2,S
1,VI,11644,2,S
1,VI,11810,2,S
1,VI,10450,2,S
1,VI,11085,2,S
1,VI,16105,2,S
1,VI,16022,2,S
1,VI,14543,2,S
1,VI,16029,2,S
1,VI,12223,2,S
3,JU,41071,2,S
3,JU,41080,2,S
3,JU,41069,2,S
3,JU,41615,2,S
3,JU,40066,2,S
3,JU,41690,2,S
3,JU,41065,2,S
3,JU,45512,2,S
3,JU,41608,2,S
3,JU,46023,2,S
3,JU,45511,2,S
3,JU,45509,2,S
3,JU,40073,2,S
3,JU,44065,2,S
3,JU,40535,2,S
3,LU,41075,2,S
3,LU,45517,2,S
3,LU,81688,2,S
3,LU,80059,2,S
3,LU,45514,2,S
3,LU,80076,2,S
3,LU,41031,2,S
3,LU,80058,2,S
3,LU,81750,2,S
3,MA,26010,2,S
3,MA,20160,2,S
3,MA,10563,2,S
3,MA,26028,2,S
3,MA,26037,2,S
3,MA,20695,2,S
3,MA,21651,2,S
3,MA,20054,2,S
3,MA,20096,2,S
3,MA,20050,2,S
3,MA,25501,2,S
3,MI,20109,2,S
3,MI,21882,2,S
3,MI,26011,2,S
3,MI,21650,2,S
3,MI,21639,2,S
3,MI,21691,2,S
3,MI,20863,2,S
3,MI,21640,2,S
3,MI,26047,2,S
3,MI,20416,2,S
3,MI,21904,2,S
3,MI,20539,2,S
3,MI,21695,2,S
3,MI,20606,2,S
3,VI,11600,2,S
3,VI,10644,2,S
3,VI,16063,2,S
3,VI,10900,2,S
3,VI,14569,2,S
3,VI,16037,2,S
3,VI,16001,2,S
3,VI,16038,2,S
3,VI,16065,2,S
3,VI,10031,2,S
3,VI,10513,2,S
3,VI,11086,2,S
5,JU,11184,2,S
5,JU,10342,2,S
5,JU,11622,2,S
5,JU,11705,2,S
5,JU,11687,2,S
5,JU,16067,2,S
5,JU,11923,2,S
5,JU,10359,2,S
5,JU,10821,2,S
5,JU,11168,2,S
5,JU,11052,2,S
5,JU,10386,2,S
5,JU,10421,2,S
5,JU,16014,2,S
5,JU,10583,2,S
5,JU,10555,2,S
5,LU,40076,2,S
5,LU,41687,2,S
5,LU,41219,2,S
5,LU,41028,2,S
5,LU,41603,2,S
5,LU,41654,2,S
5,LU,46022,2,S
5,LU,41673,2,S
5,LU,45551,2,S
5,LU,40529,2,S
5,LU,41068,2,S
5,LU,41255,2,S
5,LU,40072,2,S
5,LU,40075,2,S
5,LU,45518,2,S
5,LU,46033,2,S
5,LU,41070,2,S
5,LU,46032,2,S
5,LU,41258,2,S
5,MA,36019,2,S
5,MA,30559,2,S
5,MA,31646,2,S
5,MA,30411,2,S
5,MA,31610,2,S
5,MA,30017,2,S
5,MA,31905,2,S
5,MA,30036,2,S
5,MA,36002,2,S
5,MA,36017,2,S
5,MA,36018,2,S
5,MA,30026,2,S
5,MI,21815,2,S
5,MI,20531,2,S
5,MI,20589,2,S
5,MI,10300,2,S
5,MI,21643,2,S
5,MI,21901,2,S
5,MI,20350,2,S
5,MI,21621,2,S
5,MI,20584,2,S
5,MI,26005,2,S
5,MI,20145,2,S
5,VI,16005,2,S
5,VI,16090,2,S
5,VI,16006,2,S
5,VI,10008,2,S
5,VI,16019,2,S
5,VI,10496,2,S
5,VI,10309,2,S
5,VI,11679,2,S
5,VI,10909,2,S
5,VI,16031,2,S
5,VI,11623,2,S
5,VI,11735,2,S
5,VI,10547,2,S
7,JU,30026,2,S
7,JU,30036,2,S
7,JU,36017,2,S
7,JU,36002,2,S
7,JU,36141,2,S
7,JU,36151,2,S
7,JU,36024,2,S
7,JU,36027,2,S
7,JU,36008,2,S
7,JU,36030,2,S
7,JU,36018,2,S
7,LU,35215,2,S
7,LU,30056,2,S
7,LU,36023,2,S
7,LU,30072,2,S
7,LU,30224,2,S
7,LU,30052,2,S
7,LU,30047,2,S
7,LU,36560,2,S
7,MA,36005,2,S
7,MA,36048,2,S
7,MA,30003,2,S
7,MA,36026,2,S
7,MA,30578,2,S
7,MA,31647,2,S
7,MA,30576,2,S
7,MI,36012,2,S
7,MI,30031,2,S
7,MI,30034,2,S
7,MI,31619,2,S
7,MI,31509,2,S
7,MI,30546,2,S
7,MI,30050,2,S
7,MI,30536,2,S
7,MI,36013,2,S
7,MI,36032,2,S
7,MI,31617,2,S
7,MI,31608,2,S
7,MI,36029,2,S
7,MI,31508,2,S
7,MI,30041,2,S
7,VI,31905,2,S
7,VI,36019,2,S
7,VI,30411,2,S
7,VI,30559,2,S
7,VI,31646,2,S
7,VI,30017,2,S
7,VI,31610,2,S
8,JU,41071,2,S
8,JU,40531,2,S
8,JU,41080,2,S
8,JU,40066,2,S
8,JU,40073,2,S
8,JU,45511,2,S
8,JU,41615,2,S
8,JU,40535,2,S
8,JU,46023,2,S
8,JU,44065,2,S
8,JU,41690,2,S
8,JU,45512,2,S
8,JU,41069,2,S
8,JU,41065,2,S
8,LU,41075,2,S
8,LU,40014,2,S
8,LU,80059,2,S
8,LU,45514,2,S
8,LU,45516,2,S
8,LU,80058,2,S
8,LU,81750,2,S
8,LU,80076,2,S
8,LU,41031,2,S
8,LU,40109,2,S
8,MA,45551,2,S
8,MA,41673,2,S
8,MA,41219,2,S
8,MA,46022,2,S
8,MA,40529,2,S
8,MA,41654,2,S
8,MA,41603,2,S
8,MA,41028,2,S
8,MA,41687,2,S
8,MA,40076,2,S
8,MA,41258,2,S
8,MA,41255,2,S
8,MA,41068,2,S
8,MI,40070,2,S
8,MI,41680,2,S
8,MI,46032,2,S
8,MI,46033,2,S
8,MI,40072,2,S
8,MI,45509,2,S
8,MI,12363,2,S
8,MI,20536,2,S
8,MI,41070,2,S
8,MI,12360,2,S
8,VI,41785,2,S
8,VI,40523,2,S
8,VI,20874,2,S
8,VI,12520,2,S
8,VI,41052,2,S
9,JU,30565,2,S
9,JU,30131,1,S
9,JU,30545,2,S
9,JU,30363,2,S
9,JU,30086,1,S
9,JU,30212,2,S
9,JU,30526,2,S
9,JU,30128,2,S
9,JU,30143,2,S
9,JU,30009,2,S
9,JU,30087,2,S
9,JU,30074,2,S
9,LU,30236,1,S
9,LU,30245,1,S
9,LU,30239,1,S
9,LU,30238,1,S
9,LU,30243,1,S
9,LU,30237,1,S
9,LU,30240,1,S
9,LU,41025,1,S
9,LU,30246,1,S
9,LU,30235,1,S
9,LU,30234,1,S
9,LU,30241,1,S
9,LU,30242,1,S
9,LU,30250,1,S
9,LU,30247,1,S
9,LU,30248,1,S
9,LU,30249,1,S
9,LU,30251,1,S
9,LU,30244,1,S
9,LU,30252,1,S
9,LU,31239,1,S
9,LU,30253,1,S
9,LU,30254,1,S
9,LU,30255,1,S
9,MA,30116,2,S
9,MA,36010,2,S
9,MA,30124,1,S
9,MA,30175,2,S
9,MA,30181,1,S
9,MA,36049,2,S
9,MA,36042,2,S
9,MA,30711,2,S
9,MA,36003,2,S
9,MA,30019,1,S
9,MA,30525,1,S
9,MA,30203,1,S
9,MA,30206,1,S
9,MA,36161,1,S
9,MA,30147,1,S
9,MA,36063,1,S
9,MA,30588,1,S
9,MA,30060,1,S
9,MA,36154,1,S
9,MA,30188,1,S
9,MA,36581,1,S
9,MA,36155,1,S
9,MA,30557,1,S
9,MA,31510,1,S
9,MA,30076,2,S
9,MI,30555,2,S
9,MI,30006,2,S
9,MI,30015,2,S
9,MI,30108,2,S
9,MI,30121,1,S
9,VI,31533,2,S
9,VI,30367,2,S
9,VI,30618,2,S
9,VI,30226,2,S
9,VI,30066,2,S
9,VI,30132,1,S
9,VI,30133,1,S
11,JU,21889,1,S
11,JU,11058,1,S
11,JU,41212,1,S
11,JU,11020,1,S
11,JU,11021,1,S
11,JU,12538,1,S
11,JU,12358,1,S
11,JU,10665,1,S
11,JU,19981,1,S
11,JU,10603,1,S
11,JU,10607,1,S
11,JU,10601,1,S
11,JU,11625,1,S
11,JU,12528,1,S
11,JU,10136,1,S
11,JU,20057,1,S
11,LU,12539,1,S
11,LU,16088,1,S
11,LU,12413,1,S
11,LU,10760,1,S
11,LU,12470,1,S
11,LU,10020,1,S
11,LU,10277,1,S
11,LU,11621,1,S
11,LU,20517,1,S
11,LU,12314,1,S
11,LU,10461,1,S
11,LU,12315,1,S
11,LU,20238,1,S
11,LU,10586,1,S
11,LU,10105,1,S
11,MA,20345,1,S
11,MA,20218,1,S
11,MA,20049,1,S
11,MA,20302,1,S
11,MA,20668,1,S
11,MA,20162,1,S
11,MA,20006,1,S
11,MA,20984,1,S
11,MA,21693,1,S
11,MA,21097,1,S
11,MA,20543,1,S
11,MA,20519,1,S
11,MA,10918,1,S
11,MA,21549,1,S
11,MI,10213,1,S
11,MI,11645,1,S
11,MI,11604,1,S
11,MI,11603,1,S
11,MI,11602,1,S
11,MI,11608,1,S
11,MI,10403,1,S
11,MI,11610,1,S
11,MI,11605,1,S
11,MI,10541,1,S
11,MI,10540,1,S
11,MI,10582,1,S
11,MI,10056,1,S
11,MI,32663,1,S
11,MI,32662,1,S
11,MI,11094,1,S
11,MI,11607,1,S
11,MI,13114,1,S
11,MI,20222,1,S
11,MI,10558,1,S
11,MI,11641,1,S
11,MI,12340,1,S
11,MI,11640,1,S
11,MI,11174,1,S
11,MI,11606,1,S
11,MI,10690,1,S
11,MI,10636,1,S
11,MI,10214,1,S
11,MI,11222,1,S
11,MI,11223,1,S
11,VI,10216,1,S
11,VI,10662,1,S
11,VI,10106,1,S
11,VI,10094,1,S
11,VI,14418,1,S
11,VI,11620,1,S
11,VI,10917,1,S
11,VI,10096,1,S
11,VI,10753,1,S
11,VI,10605,1,S
11,VI,14403,1,S
11,VI,12519,1,S
11,VI,12445,1,S
11,VI,11140,1,S
11,VI,10440,1,S
11,VI,11619,1,S
11,VI,11649,1,S
11,VI,10012,1,S
11,VI,10345,1,S
11,VI,12246,1,S
11,VI,12239,1,S
11,VI,10293,1,S
11,VI,20220,1,S
11,VI,10670,1,S
11,VI,10089,1,S
11,VI,10244,1,S
11,VI,10667,1,S
11,VI,10225,1,S
11,VI,10898,1,S
11,VI,10229,1,S
11,VI,30229,1,S
11,VI,10317,1,S
11,VI,11632,1,S
11,VI,12513,1,S
11,VI,12335,1,S
11,VI,10314,1,S
11,VI,10264,1,S
12,JU,10298,1,S
12,JU,12415,1,S
12,JU,12333,1,S
12,JU,11642,1,S
12,JU,12409,1,S
12,JU,10021,1,S
12,JU,10140,1,S
12,JU,10185,1,S
12,JU,12406,1,S
12,JU,10758,1,S
12,JU,10852,1,S
12,JU,12317,1,S
