sucursal,pasillo,cara,nivel
h,10,1,1
h,10,1,2
h,10,1,3
h,10,2,1
h,10,2,2
h,10,2,3
h,11,1,1
h,11,1,2
h,11,1,3
h,11,2,1
h,11,2,2
h,11,2,3
h,12,1,1
h,12,1,2
h,12,1,3
h,12,2,1
h,12,2,2
h,12,2,3
h,13,1,1
h,13,1,2
h,13,1,3
h,13,1,4
h,13,2,1
h,13,2,2
h,13,2,3
h,13,2,4
h,14,1,1
h,14,1,2
h,14,1,3
h,14,2,1
h,14,2,2
h,14,2,3
h,15,1,1
h,15,1,2
h,15,1,3
h,15,1,4
h,15,2,1
h,15,2,2
h,15,2,3
h,15,2,4
h,16,1,1
h,16,1,2
h,16,1,3
h,16,2,1
h,16,2,2
h,16,2,3
h,17,1,1
h,17,1,2
h,17,1,3
h,17,2,1
h,17,2,2
h,17,2,3
h,18,1,1
h,18,1,2
h,18,1,3
h,18,1,3
h,18,2,1
h,18,2,2
h,18,2,3
